date,date_key,year,month,day,day_of_week,week_of_year,month_name,is_weekend,season
2020-05-07,20200507,2020,5,7,5,19,May,0,Spring
2020-09-20,20200920,2020,9,20,1,38,September,1,Fall
2020-11-14,20201114,2020,11,14,7,46,November,1,Fall
2021-06-18,20210618,2021,6,18,6,24,June,0,Summer
2021-06-21,20210621,2021,6,21,2,25,June,0,Summer
2020-10-02,20201002,2020,10,2,6,40,October,0,Fall
2021-05-20,20210520,2021,5,20,5,20,May,0,Spring
2021-05-22,20210522,2021,5,22,7,20,May,1,Spring
2021-11-20,20211120,2021,11,20,7,46,November,1,Fall
2021-12-02,20211202,2021,12,2,5,48,December,0,Winter
2020-04-12,20200412,2020,4,12,1,15,April,1,Spring
2020-08-03,20200803,2020,8,3,2,32,August,0,Summer
2021-03-17,20210317,2021,3,17,4,11,March,0,Spring
2021-03-28,20210328,2021,3,28,1,12,March,1,Spring
2020-04-16,20200416,2020,4,16,5,16,April,0,Spring
2020-10-10,20201010,2020,10,10,7,41,October,1,Fall
2021-02-14,20210214,2021,2,14,1,6,February,1,Winter
2020-06-03,20200603,2020,6,3,4,23,June,0,Summer
2020-12-06,20201206,2020,12,6,1,49,December,1,Winter
2021-07-29,20210729,2021,7,29,5,30,July,0,Summer
2021-10-28,20211028,2021,10,28,5,43,October,0,Fall
2021-12-16,20211216,2021,12,16,5,50,December,0,Winter
2021-01-15,20210115,2021,1,15,6,2,January,0,Winter
2021-03-16,20210316,2021,3,16,3,11,March,0,Spring
2021-08-07,20210807,2021,8,7,7,31,August,1,Summer
2021-10-19,20211019,2021,10,19,3,42,October,0,Fall
2020-08-17,20200817,2020,8,17,2,34,August,0,Summer
2020-08-21,20200821,2020,8,21,6,34,August,0,Summer
2020-09-14,20200914,2020,9,14,2,38,September,0,Fall
2021-02-12,20210212,2021,2,12,6,6,February,0,Winter
2021-06-25,20210625,2021,6,25,6,25,June,0,Summer
2021-07-22,20210722,2021,7,22,5,29,July,0,Summer
2020-07-15,20200715,2020,7,15,4,29,July,0,Summer
2020-10-11,20201011,2020,10,11,1,41,October,1,Fall
2020-08-19,20200819,2020,8,19,4,34,August,0,Summer
2020-11-21,20201121,2020,11,21,7,47,November,1,Fall
2020-12-14,20201214,2020,12,14,2,51,December,0,Winter
2021-01-29,20210129,2021,1,29,6,4,January,0,Winter
2020-08-27,20200827,2020,8,27,5,35,August,0,Summer
2021-02-22,20210222,2021,2,22,2,8,February,0,Winter
2021-06-30,20210630,2021,6,30,4,26,June,0,Summer
2021-09-20,20210920,2021,9,20,2,38,September,0,Fall
2020-07-04,20200704,2020,7,4,7,27,July,1,Summer
2020-10-24,20201024,2020,10,24,7,43,October,1,Fall
2021-08-16,20210816,2021,8,16,2,33,August,0,Summer
2020-08-18,20200818,2020,8,18,3,34,August,0,Summer
2021-04-22,20210422,2021,4,22,5,16,April,0,Spring
2021-06-12,20210612,2021,6,12,7,23,June,1,Summer
2021-07-15,20210715,2021,7,15,5,28,July,0,Summer
2020-09-21,20200921,2020,9,21,2,39,September,0,Fall
2021-01-11,20210111,2021,1,11,2,2,January,0,Winter
2021-07-28,20210728,2021,7,28,4,30,July,0,Summer
2021-02-03,20210203,2021,2,3,4,5,February,0,Winter
2021-02-13,20210213,2021,2,13,7,6,February,1,Winter
2020-09-15,20200915,2020,9,15,3,38,September,0,Fall
2020-10-31,20201031,2020,10,31,7,44,October,1,Fall
2021-12-19,20211219,2021,12,19,1,50,December,1,Winter
2020-07-22,20200722,2020,7,22,4,30,July,0,Summer
2021-01-08,20210108,2021,1,8,6,1,January,0,Winter
2021-02-23,20210223,2021,2,23,3,8,February,0,Winter
2021-09-01,20210901,2021,9,1,4,35,September,0,Fall
2021-11-12,20211112,2021,11,12,6,45,November,0,Fall
2020-04-05,20200405,2020,4,5,1,14,April,1,Spring
2020-05-29,20200529,2020,5,29,6,22,May,0,Spring
2021-01-02,20210102,2021,1,2,7,53,January,1,Winter
2021-01-12,20210112,2021,1,12,3,2,January,0,Winter
2021-03-06,20210306,2021,3,6,7,9,March,1,Spring
2021-06-10,20210610,2021,6,10,5,23,June,0,Summer
2021-05-02,20210502,2021,5,2,1,17,May,1,Spring
2021-06-23,20210623,2021,6,23,4,25,June,0,Summer
2020-04-08,20200408,2020,4,8,4,15,April,0,Spring
2021-06-05,20210605,2021,6,5,7,22,June,1,Summer
2021-07-16,20210716,2021,7,16,6,28,July,0,Summer
2020-07-09,20200709,2020,7,9,5,28,July,0,Summer
2020-07-13,20200713,2020,7,13,2,29,July,0,Summer
2020-08-14,20200814,2020,8,14,6,33,August,0,Summer
2020-09-23,20200923,2020,9,23,4,39,September,0,Fall
2020-10-21,20201021,2020,10,21,4,43,October,0,Fall
2021-11-04,20211104,2021,11,4,5,44,November,0,Fall
2021-09-23,20210923,2021,9,23,5,38,September,0,Fall
2020-11-15,20201115,2020,11,15,1,46,November,1,Fall
2021-01-14,20210114,2021,1,14,5,2,January,0,Winter
2021-03-04,20210304,2021,3,4,5,9,March,0,Spring
2021-08-17,20210817,2021,8,17,3,33,August,0,Summer
2020-04-02,20200402,2020,4,2,5,14,April,0,Spring
2020-08-30,20200830,2020,8,30,1,35,August,1,Summer
2020-11-25,20201125,2020,11,25,4,48,November,0,Fall
2021-01-13,20210113,2021,1,13,4,2,January,0,Winter
2021-08-31,20210831,2021,8,31,3,35,August,0,Summer
2021-11-22,20211122,2021,11,22,2,47,November,0,Fall
2020-05-31,20200531,2020,5,31,1,22,May,1,Spring
2020-07-06,20200706,2020,7,6,2,28,July,0,Summer
2020-10-01,20201001,2020,10,1,5,40,October,0,Fall
2020-04-11,20200411,2020,4,11,7,15,April,1,Spring
2021-05-25,20210525,2021,5,25,3,21,May,0,Spring
2021-10-30,20211030,2021,10,30,7,43,October,1,Fall
2020-07-14,20200714,2020,7,14,3,29,July,0,Summer
2020-07-27,20200727,2020,7,27,2,31,July,0,Summer
2021-07-05,20210705,2021,7,5,2,27,July,0,Summer
2021-10-26,20211026,2021,10,26,3,43,October,0,Fall
2021-11-03,20211103,2021,11,3,4,44,November,0,Fall
2020-11-07,20201107,2020,11,7,7,45,November,1,Fall
2021-05-05,20210505,2021,5,5,4,18,May,0,Spring
2021-12-09,20211209,2021,12,9,5,49,December,0,Winter
2021-12-15,20211215,2021,12,15,4,50,December,0,Winter
2020-10-17,20201017,2020,10,17,7,42,October,1,Fall
2021-07-06,20210706,2021,7,6,3,27,July,0,Summer
2021-03-03,20210303,2021,3,3,4,9,March,0,Spring
2021-11-30,20211130,2021,11,30,3,48,November,0,Fall
2020-06-19,20200619,2020,6,19,6,25,June,0,Summer
2021-01-17,20210117,2021,1,17,1,2,January,1,Winter
2021-02-16,20210216,2021,2,16,3,7,February,0,Winter
2021-03-31,20210331,2021,3,31,4,13,March,0,Spring
2021-04-01,20210401,2021,4,1,5,13,April,0,Spring
2021-04-09,20210409,2021,4,9,6,14,April,0,Spring
2021-04-05,20210405,2021,4,5,2,14,April,0,Spring
2021-09-02,20210902,2021,9,2,5,35,September,0,Fall
2021-12-06,20211206,2021,12,6,2,49,December,0,Winter
2021-12-20,20211220,2021,12,20,2,51,December,0,Winter
2020-07-20,20200720,2020,7,20,2,30,July,0,Summer
2021-02-07,20210207,2021,2,7,1,5,February,1,Winter
2021-02-28,20210228,2021,2,28,1,8,February,1,Winter
2021-05-19,20210519,2021,5,19,4,20,May,0,Spring
2021-06-24,20210624,2021,6,24,5,25,June,0,Summer
2021-09-27,20210927,2021,9,27,2,39,September,0,Fall
2021-05-11,20210511,2021,5,11,3,19,May,0,Spring
2021-09-19,20210919,2021,9,19,1,37,September,1,Fall
2020-05-15,20200515,2020,5,15,6,20,May,0,Spring
2020-05-26,20200526,2020,5,26,3,22,May,0,Spring
2020-10-23,20201023,2020,10,23,6,43,October,0,Fall
2020-11-30,20201130,2020,11,30,2,49,November,0,Fall
2020-12-07,20201207,2020,12,7,2,50,December,0,Winter
2021-06-03,20210603,2021,6,3,5,22,June,0,Summer
2020-04-18,20200418,2020,4,18,7,16,April,1,Spring
2021-03-19,20210319,2021,3,19,6,11,March,0,Spring
2021-05-01,20210501,2021,5,1,7,17,May,1,Spring
2021-08-05,20210805,2021,8,5,5,31,August,0,Summer
2021-10-07,20211007,2021,10,7,5,40,October,0,Fall
2020-12-05,20201205,2020,12,5,7,49,December,1,Winter
2020-10-27,20201027,2020,10,27,3,44,October,0,Fall
2021-11-06,20211106,2021,11,6,7,44,November,1,Fall
2020-08-31,20200831,2020,8,31,2,36,August,0,Summer
2021-09-08,20210908,2021,9,8,4,36,September,0,Fall
2021-12-17,20211217,2021,12,17,6,50,December,0,Winter
2020-09-10,20200910,2020,9,10,5,37,September,0,Fall
2020-10-26,20201026,2020,10,26,2,44,October,0,Fall
2020-12-11,20201211,2020,12,11,6,50,December,0,Winter
2021-01-20,20210120,2021,1,20,4,3,January,0,Winter
2021-01-28,20210128,2021,1,28,5,4,January,0,Winter
2021-06-16,20210616,2021,6,16,4,24,June,0,Summer
2021-08-09,20210809,2021,8,9,2,32,August,0,Summer
2021-08-18,20210818,2021,8,18,4,33,August,0,Summer
2020-07-30,20200730,2020,7,30,5,31,July,0,Summer
2020-09-02,20200902,2020,9,2,4,36,September,0,Fall
2020-11-23,20201123,2020,11,23,2,48,November,0,Fall
2021-01-06,20210106,2021,1,6,4,1,January,0,Winter
2021-05-30,20210530,2021,5,30,1,21,May,1,Spring
2021-11-19,20211119,2021,11,19,6,46,November,0,Fall
2020-06-29,20200629,2020,6,29,2,27,June,0,Summer
2021-02-04,20210204,2021,2,4,5,5,February,0,Winter
2021-03-11,20210311,2021,3,11,5,10,March,0,Spring
2021-09-22,20210922,2021,9,22,4,38,September,0,Fall
2020-04-22,20200422,2020,4,22,4,17,April,0,Spring
2021-06-15,20210615,2021,6,15,3,24,June,0,Summer
2021-10-27,20211027,2021,10,27,4,43,October,0,Fall
2020-05-22,20200522,2020,5,22,6,21,May,0,Spring
2020-08-06,20200806,2020,8,6,5,32,August,0,Summer
2020-05-18,20200518,2020,5,18,2,21,May,0,Spring
2020-06-30,20200630,2020,6,30,3,27,June,0,Summer
2020-10-20,20201020,2020,10,20,3,43,October,0,Fall
2021-04-10,20210410,2021,4,10,7,14,April,1,Spring
2021-04-12,20210412,2021,4,12,2,15,April,0,Spring
2021-05-13,20210513,2021,5,13,5,19,May,0,Spring
